Software Security Vol	Veracode’s State	none
at least one security flaw	it	none
83%	85,000 applications	none
10 report	it	none
10 report	83%	none
85,000 applications	it	none
at least one security flaw	85,000 applications	none
at least one security flaw	83%	none
83%	it	none
10 report	85,000 applications	none
at least one security flaw	10 report	none
research	one high severity flaw	none
apps	20%	none
apps	research	none
apps	10 million flaws	none
research	total	none
10 million flaws	one high severity flaw	none
research	20%	none
research	10 million flaws	none
20%	one high severity flaw	none
total	10 million flaws	none
apps	total	none
total	20%	none
20%	10 million flaws	none
total	one high severity flaw	none
apps	one high severity flaw	none
sheer number	significant security risk	none
flaws	sheer number	none
flaws	significant security risk	none
software development process	security issues	none
you	enterprise	none
software development process	enterprise	none
software development process	you	none
you	security issues	none
enterprise	security issues	none
mistakes	challenge	none
everyone	timely fashion	none
timely fashion	challenge	none
mistakes	timely fashion	none
everyone	challenge	none
mistakes	everyone	none
example	unverified inputs	none
common coding error	unverified inputs	none
example	common coding error	none
mistake	SQL injection attacks	none
data leaks	hacker	none
hacker	SQL injection attacks	none
data leaks	SQL injection attacks	none
data leaks	mistake	none
mistake	hacker	none
application development environment	workflow	none
Application security tools	workflow	none
Application security tools	application development environment	none
Application security tools	process	none
workflow	process	none
application development environment	process	none
compliance audits	tools	none
time	auditors	none
you	problems	none
problems	tools	none
compliance audits	you	none
time	compliance audits	none
time	problems	none
compliance audits	problems	none
you	tools	none
auditors	problems	none
time	you	none
time	tools	none
you	auditors	none
auditors	tools	none
compliance audits	auditors	none
rapid growth	application security segment	none
changing nature	application security segment	none
changing nature	last several years	none
enterprise apps	application security segment	none
enterprise apps	changing nature	none
enterprise apps	last several years	none
enterprise apps	rapid growth	none
last several years	application security segment	none
rapid growth	changing nature	none
rapid growth	last several years	none
end-user department	build and test prototypes	none
end-user department	IT shop	none
finished product	days	none
days	IT shop	none
end-user department	finished product	none
requirements	IT shop	none
requirements	days	none
finished product	months	none
IT shop	months	none
days	months	none
requirements	build and test prototypes	none
days	build and test prototypes	none
finished product	build and test prototypes	none
requirements	finished product	none
requirements	months	none
end-user department	months	none
end-user department	requirements	none
end-user department	days	none
