Pizza	Cheesy Pizza	Hyponym		
Pizza	Interesting Pizza	Hyponym		
Pizza	Meaty Pizza	Hyponym		
Pizza	Named Pizza	Hyponym		
Pizza	Non Vegetarian Pizza	Hyponym		
Pizza	Real Italian Pizza	Hyponym		
Pizza	Spicy Pizza	Hyponym		
Pizza	Spicy Pizza Equivalent	Hyponym		
Pizza	Thin And Crispy Pizza	Hyponym		
Pizza	Unclosed Pizza	Hyponym		
Pizza	Vegetarian Pizza	Hyponym		
Named Pizza	American	Hyponym		
Named Pizza	AmericanHot	Hyponym		
Named Pizza	Cajun	Hyponym		
Named Pizza	Capricciosa	Hyponym		
Named Pizza	Caprina	Hyponym		
Named Pizza	Fiorentina	Hyponym		
Named Pizza	Four Seasons	Hyponym		
Named Pizza	Frutti DiMare	Hyponym		
Named Pizza	Giardiniera	Hyponym		
Named Pizza	LaReine	Hyponym		
Named Pizza	Margherita	Hyponym		
Named Pizza	Mushroom	Hyponym		
Named Pizza	Napoletana	Hyponym		
Named Pizza	Parmense	Hyponym		
Named Pizza	Pollo Ad Astra	Hyponym		
Named Pizza	Prince Carlo	Hyponym		
Named Pizza	Quattro Formaggi	Hyponym		
Named Pizza	Rosa	Hyponym		
Named Pizza	Siciliana	Hyponym		
Named Pizza	Sloppy Giuseppe	Hyponym		
Named Pizza	Soho	Hyponym		
Named Pizza	Veneziana	Hyponym		
Pizza Base	DeepPanBase	Hyponym		
Pizza Base	Thin And Crispy Base	Hyponym		
Pizza Topping	Cheese Topping	Hyponym		
Pizza Topping	Fruit Topping	Hyponym		
Pizza Topping	Herb Spice Topping	Hyponym		
Pizza Topping	Meat Topping	Hyponym		
Pizza Topping	Nut Topping	Hyponym		
Pizza Topping	Sauce Topping	Hyponym		
Pizza Topping	Seafood Topping	Hyponym		
Pizza Topping	Spicy Topping	Hyponym		
Pizza Topping	Vegetable Topping	Hyponym		
Pizza Topping	Vegetarian Topping	Hyponym		
Cheese Topping	Cheesy Vegetable Topping	Hyponym		
Cheese Topping	Four Cheeses Topping	Hyponym		
Cheese Topping	Goats Cheese Topping	Hyponym		
Cheese Topping	Gorgonzola Topping	Hyponym		
Cheese Topping	Mozzarella Topping	Hyponym		
Fruit Topping	Sultana Topping	Hyponym		
Herb Spice Topping	Cajun Spice Topping	Hyponym		
Herb Spice Topping	Rosemary Topping	Hyponym		
Meat Topping	Chicken Topping	Hyponym		
Meat Topping	Ham Topping	Hyponym		
Meat Topping	Hot Spiced Beef Topping	Hyponym		
Meat Topping	Peperoni Sausage Topping	Hyponym		
Ham Topping	ParmaHam Topping	Hyponym		
Nut Topping	Pine Kernel Topping	Hyponym		
Sauce Topping	Tobasco Pepper Sauce Topping	Hyponym		
Seafood Topping	Anchovies Topping	Hyponym		
Seafood Topping	Mixed Seafood Topping	Hyponym		
Seafood Topping	Prawns Topping	Hyponym		
Vegetable Topping	Artichoke Topping	Hyponym		
Vegetable Topping	Asparagus Topping	Hyponym		
Vegetable Topping	Caper Topping	Hyponym		
Vegetable Topping	Cheesy Vegetable Topping	Hyponym		
Vegetable Topping	Garlic Topping	Hyponym		
Vegetable Topping	Leek Topping	Hyponym		
Vegetable Topping	Mushroom Topping	Hyponym		
Vegetable Topping	Olive Topping	Hyponym		
Vegetable Topping	Onion Topping	Hyponym		
Vegetable Topping	Pepper Topping	Hyponym		
Vegetable Topping	Petit Pois Topping	Hyponym		
Vegetable Topping	Rocket Topping	Hyponym		
Vegetable Topping	Spinach Topping	Hyponym		
Vegetable Topping	Tomato Topping	Hyponym		
Onion Topping	Red Onion Topping	Hyponym		
Green Pepper Topping	Hot Green Pepper Topping	Hyponym		
Pepper Topping	Green Pepper Topping	Hyponym		
Pepper Topping	Jalapeno Pepper Topping	Hyponym		
Pepper Topping	Peperonata Topping	Hyponym		
Pepper Topping	Sweet Pepper Topping	Hyponym		
Tomato Topping	Sliced Tomato Topping	Hyponym		
Tomato Topping	Sundried Tomato Topping	Hyponym		
