IXIA THREATARMOR Hyper Box	Japanese Internet industry	none
recent years	HYPER BOX TACKLES ATTACK TRAFFIC	none
glut	cyberattacks	none
IXIA THREATARMOR Hyper Box	veteran	none
veteran	Japanese Internet industry	none
glut	HYPER BOX TACKLES ATTACK TRAFFIC	none
recent years	cyberattacks	none
HYPER BOX TACKLES ATTACK TRAFFIC	cyberattacks	none
HYPER BOX TACKLES ATTACK TRAFFIC	veteran	none
recent years	Japanese Internet industry	none
recent years	veteran	none
IXIA THREATARMOR Hyper Box	HYPER BOX TACKLES ATTACK TRAFFIC	none
HYPER BOX TACKLES ATTACK TRAFFIC	Japanese Internet industry	none
glut	veteran	none
IXIA THREATARMOR Hyper Box	cyberattacks	none
cyberattacks	Japanese Internet industry	none
glut	Japanese Internet industry	none
veteran	cyberattacks	none
recent years	IXIA THREATARMOR Hyper Box	none
glut	IXIA THREATARMOR Hyper Box	none
glut	recent years	none
they service	shared network	none
daily basis	shared network	none
daily basis	they service	none
attacks	shared network	none
they service	they	none
they service	attacks	none
logs	they service	none
they	shared network	none
logs	shared network	none
powerful security devices	they service	none
powerful security devices	logs	none
logs	they	none
logs	daily basis	none
logs	attacks	none
daily basis	they	none
attacks	they	none
powerful security devices	shared network	none
daily basis	attacks	none
powerful security devices	they	none
powerful security devices	daily basis	none
powerful security devices	attacks	none
Hyper Box promise	Hyper Box	none
Hyper Box promise	Ixia ThreatARMOR	none
Ixia ThreatARMOR	Hyper Box	none
SIEM alerts	result	none
known bad IP addresses	result	none
Hyper Box promise	SIEM alerts	none
Ixia ThreatARMOR	SIEM alerts	none
known bad IP addresses	SIEM alerts	none
SIEM alerts	Hyper Box	none
result	Hyper Box	none
Hyper Box promise	result	none
Hyper Box promise	known bad IP addresses	none
Ixia ThreatARMOR	known bad IP addresses	none
Ixia ThreatARMOR	result	none
known bad IP addresses	Hyper Box	none
Hyper Box’s strength data centers	Tokyo	none
Tokyo	Hyper Box’s strength	none
strength robust support structure	Hyper Box’s strength	none
Tokyo	strength robust support structure	none
Hyper Box’s strength data centers	strength robust support structure	none
Hyper Box’s strength data centers	Hyper Box’s strength	none
"industry low-cost, high-quality hosting services"	telephone assistance	none
telephone assistance	Hyper Box	none
Japan’s first domestic enterprise	industry	none
Japan’s first domestic enterprise	telephone assistance	none
industry	Hyper Box	none
"industry low-cost, high-quality hosting services"	industry	none
"industry low-cost, high-quality hosting services"	Hyper Box	none
Japan’s first domestic enterprise	"industry low-cost, high-quality hosting services"	none
telephone assistance	industry	none
Japan’s first domestic enterprise	Hyper Box	instance
wide range	users	none
technical experience	Hyper Box	none
years	wide range	none
technical experience	years	none
technical experience	users	none
technical experience	wide range	none
wide range	Hyper Box	none
years	Hyper Box	none
years	users	none
users	Hyper Box	none
AUTOMATED RESPONSES	MASSIVE ATTACK TRAFFIC	none
MASSIVE ATTACK TRAFFIC	MANUAL	none
AUTOMATED RESPONSES	MANUAL	none
cyberattacks	domestic and international service providers	none
