@walmartlabs	american	none	"Walmart Labs is an American subsidiary of Walmart in San Bruno, California. Their website earns revenue from advertising related to its categorization engine. Wikipedia"
1001 arabian nights (1959 film)	american	none	"6.3/10 · IMDb In this animated retelling of the classic tale, Abdul Aziz Magoo -- an ancestor of Mr. Magoo -- is the lamp-selling uncle of Aladdin. Tired of his nephew's laziness, Abdul insists that Aladdin find a wife. To his uncle's surprise, Aladdin falls in..."
13 (2010 film)	american	none	"6.1/10 · IMDb 8% · Rotten Tomatoes 2.6/5 · Letterboxd In desperate need of money, Vince takes on the identity of a dead man and sets off on an unclear mission. Little does he know that he is about to place himself amidst a fatal game of Russian roulette."
1927–28 new york americans season	american	none	"Note: W = Wins, L = Losses, T = Ties, GF = Goals For, GA = Goals Against, Pts = Points Teams that qualified for the playoffs are highlighted in bold. Regular season · Player stats"
1947 bsaa avro lancastrian star dust accident	american	none	"Star Dust was a British South American Airways Avro Lancastrian airliner which crashed into Mount Tupungato in the Argentine Andes on 2 August 1947, during a flight from Buenos Aires to Santiago, Chile. Wikipedia"
2 live stews	american	none	"The 2 Live Stews was an American syndicated sports talk radio show originating from WQXI, AM 790 the Zone, in Atlanta, Georgia hosted by brothers Doug and Ryan Stewart. The hosts and cast · History"
2 stupid dogs	american	none	7.3/10 · IMDb The adventures of two canines with a nose for trouble.
3 south	american	none	7.9/10 · IMDb 8.1/10 · TV.com College freshmen must live with premed student.
5-hour energy	american	none	"5-hour Energy is an American-made ""energy shot"" manufactured by Living Essentials LLC. The company was founded by CEO Manoj Bhargava and launched in 2004. Wikipedia"
7 shot screamers	american	none	"7 Shot Screamers is an American psychobilly band from St. Louis, Missouri in the United States. Wikipedia"
8 eyed spy	american	none	"8 Eyed Spy was an American no wave band from New York City, consisting of Lydia Lunch and Jim Sclavunos, Michael Paumgardhen, Pat Irwin and George Scott III. Wikipedia"
8-bit (band)	american	none	"WELCOME TO ""The 8-Bit Big Band!"" - SUBSCRIBE FOR VIDEO GAME JAZZ played by a FULL SIZED JAZZ ORCHESTRA! :D.  ... Benny Benack III is featured singing his face off crooning like Frank Sinatra and playing trumpet in The 8-Bit Big Band's arrangement of one of video game musics favorite ..."
a boy and his dog (1946 film)	american	none	"6.2/10 · IMDb Davy Allen, a young boy, discovers the wounded neck of Buck, a dog. He removes the collar from its neck causing the wound. Soon, Allen is summoned to the court by the owner of the dog Mr. Thornycroft."
a boy named charlie brown	american	none	"7.3/10 · IMDb 95% · Rotten Tomatoes When Charlie Brown (Peter Robbins) enters the school spelling bee, the perpetually crabby Lucy (Pamelyn Ferdin) predicts his humiliation. But with the help of his best friend, Linus (Glenn Gilger), and faithful dog, Snoopy (Bill Melendez), Charlie..."
a connecticut yankee in king arthur's court (1949 film)	american	none	"6.6/10 · IMDb 50% · Rotten Tomatoes A Connecticut Yankee in King Arthur's Court is a 1949 American Technicolor comedy musical film directed by Tay Garnett and starring Bing Crosby, Rhonda Fleming, Sir Cedric Hardwicke and William Bendix. Wikipedia"
a corny concerto	american	none	"7.3/10 · IMDb A Corny Concerto is a 1943 American animated short film of the Merrie Melodies series starring Bugs Bunny, Porky Pig, Elmer Fudd and a young Daffy Duck. They perform a parody of Disney's Silly Symphony cartoon series and specifically his 1940... Wikipedia"
a deadly adoption	american	none	"5.1/10 · IMDb 20% · Rotten Tomatoes Black comedy thriller about a successful couple who take in and care for a six-months-pregnant woman after losing their second, unborn child. They are hoping to be able to adopt the new baby, but taking a total stranger into their house is taking..."
a garfield christmas	american	none	"8.1/10 · IMDb A Garfield Christmas Special is a 1987 American animated television special based on the Garfield comic strip, created by Jim Davis. Wikipedia"
