passwords	Sensitive data	none
privacy laws	Protect Data	none
personal information	privacy laws	none
Sensitive data	Protect Data	none
personal information	Sensitive data	none
extra protection	Protect Data	none
passwords	information	none
public marketing information	public data	none
encryption	sensitive data	none
sensitive data management	sensitive data	none
sure sensitive data	sensitive data	none
crypto	Cryptography	none
information security	Cryptography	none
data leakage	sensitive data	none
passwords	encryption keys	none
secrets	unauthorized disclosure	none
