YOU	ZERO-DAY THREATS	none	none
revolutionary AI engines	best2 zero-day protection	none	hypernym
Trojans	cyberattacks	concept	hypernym
phishing	cyberattacks	hypernym	hypernym
phishing	social engineering	hypernym	hypernym
cyberattacks	unknown ransomware	instance	hypernym
advanced email protections	pre-emptive user protections	concept	hypernym
Pre-emptive User Protections	advanced email protections	none	hypernym
Click-Time Protection	rules-based engines	none	hypernym
antiphishing	zero day protection	concept	hypernym
guest network	network segment	hypernym	hypernym
perimeter	network segment	hyponym	hypernym
elevators	Endpoint security	hyponym	hypernym
HVAC systems	Endpoint security	none	hypernym
cameras	Endpoint security	hyponym	hypernym
evasion-resistant threat emulation	best2 zero-day protection	instance	hypernym
best2 zero-day protection	threat extraction	concept	hyponym
pre-emptive user protections	threat extraction	hypernym	hyponym
Pre-emptive User Protections	threat extraction	hypernym	hyponym
rules-based engines	Threat Emulation	none	hyponym
rules-based engines	URL reputation	none	hyponym
rules-based engines	AI-based phishing protection	none	hyponym
rules-based engines	AI-based fraud protection	none	hyponym
network segment	internal network etc	hyponym	hyponym
malware	malware families	hyponym	hyponym
rules-based engines	Natural Language Processing	none	hyponym
malware	zero-day phishing	instance	none
zero-day malware	zero-day phishing and social engineering attacks	hyponym	none
"anti-virus, firewalls"	other core security solutions	instance	none
Conventional sandboxing solutions	malware evasion techniques	hypernym	none
HVAC systems	enterprise IoT	none	none
elevators	enterprise IoT	none	none
cameras	enterprise IoT	none	none
phishing	devastating attacks	instance	none
other email-based threats	worldwide breaches3	none	none
social engineering	worldwide breaches3	none	none
phishing	worldwide breaches3	none	none
threats	risk	hypernym	none
Threat Emulation	multiple innovative technologies	none	none
URL reputation	multiple innovative technologies	none	none
AI-based fraud protection	multiple innovative technologies	none	none
Click-Time Protection	multiple innovative technologies	none	none
documents	file types	none	none
executables	file types	none	none
defense	Endpoint security	none	none
devastating attacks	unknown ransomware	hyponym	none
devastating attacks	Trojans	none	none
devastating attacks	social engineering	hypernym	none
devastating attacks	cyberattacks	hypernym	none
largest repository	ThreatCloud – Dynamic Threat Intelligence Repository	none	none
zero-day malware	"8,3001 new, previously undiscovered cyber attacks"	concept	none
zero-day phishing and social engineering attacks	"8,3001 new, previously undiscovered cyber attacks"	hypernym	none
network	other core security solutions	hyponym	none
"anti-virus, firewalls"	network	hypernym	none
associated file signatures	"anti-virus, firewalls"	hypernym	none
associated file signatures	network	hypernym	none
associated file signatures	other core security solutions	concept	none
half	fact	hypernym	none
best AV solutions	half	none	none
best AV solutions	fact	none	none
fact	malware strains	hyponym	none
best AV solutions	wild	none	none
wild	half	hypernym	none
wild	malware strains	none	none
wild	fact	hypernym	none
half	malware strains	hyponym	none
best AV solutions	malware strains	none	none
compromise	existing indicators	hyponym	none
existing indicators	IOCs	none	none
existing indicators	what	hypernym	none
COMMON NETWORK SECURITY APPROACHES	LIMITATIONS	hypernym	none
COMMON NETWORK SECURITY APPROACHES	IOCs	hypernym	none
you	what	none	none
existing indicators	LIMITATIONS	none	none
you	existing indicators	none	none
LIMITATIONS	what	none	none
COMMON NETWORK SECURITY APPROACHES	existing indicators	none	none
compromise	COMMON NETWORK SECURITY APPROACHES	hyponym	none
compromise	what	none	none
COMMON NETWORK SECURITY APPROACHES	you	hypernym	none
you	LIMITATIONS	none	none
compromise	LIMITATIONS	none	none
what	IOCs	none	none
COMMON NETWORK SECURITY APPROACHES	what	hypernym	none
you	IOCs	none	none
LIMITATIONS	IOCs	none	none
compromise	you	none	none
compromise	IOCs	none	none
several approaches	organizations	hypernym	none
several approaches	zero-day threats	none	none
organizations	zero-day threats	none	none
analysis	Conventional sandboxing solutions	none	none
network	malware evasion techniques	hyponym	none
malware	network	hypernym	none
malware	malware evasion techniques	hyponym	none
analysis	network	hypernym	none
analysis	malware evasion techniques	none	none
malware	analysis	hypernym	none
analysis	default	hypernym	none
Conventional sandboxing solutions	default	hypernym	none
malware evasion techniques	default	hypernym	none
network	default	hypernym	none
malware	Conventional sandboxing solutions	hyponym	none
malware	default	hypernym	none
Conventional sandboxing solutions	network	hypernym	none
only line	dedicated servers	none	none
advantages	defense	hypernym	none
cameras	dedicated servers	none	none
HVAC systems	cameras	none	none
elevators	dedicated servers	none	none
enterprise IoT	datacenters	hypernym	none
datacenters	dedicated servers	hyponym	none
advantages	Endpoint security	hyponym	none
network perimeter	dedicated servers	none	none
network perimeter	enterprise IoT	none	none
only line	advantages	hypernym	none
enterprise IoT	Endpoint security	hyponym	none
cameras	advantages	hypernym	none
defense	dedicated servers	none	none
advantages	enterprise IoT	none	none
HVAC systems	datacenters	none	none
datacenters	Endpoint security	hyponym	none
defense	enterprise IoT	none	none
network perimeter	cameras	none	none
HVAC systems	elevators	none	none
elevators	defense	none	none
elevators	cameras	hypernym	none
HVAC systems	only line	none	none
advantages	dedicated servers	hyponym	none
network perimeter	elevators	none	none
network perimeter	HVAC systems	none	none
HVAC systems	defense	none	none
only line	cameras	none	none
enterprise IoT	dedicated servers	none	none
Endpoint security	dedicated servers	hypernym	none
elevators	only line	none	none
network perimeter	only line	hypernym	none
only line	datacenters	hypernym	none
cameras	datacenters	hyponym	none
network perimeter	advantages	hypernym	none
HVAC systems	dedicated servers	none	none
elevators	datacenters	hyponym	none
only line	enterprise IoT	none	none
network perimeter	datacenters	hypernym	none
elevators	advantages	hypernym	none
only line	Endpoint security	none	none
defense	datacenters	hyponym	none
advantages	datacenters	hyponym	none
HVAC systems	advantages	none	none
network perimeter	Endpoint security	hyponym	none
cameras	defense	hypernym	none
only line	defense	hypernym	none
network perimeter	defense	hypernym	none
damage	detection-first strategy	hyponym	none
damage	incident response	none	none
incident response	detection-first strategy	none	none
you	zero-day threats	hyponym	none
you	such critical limitations	none	none
zero-day threats	such critical limitations	hypernym	none
network	zero-day threats	hyponym	none
you	network	concept	none
network	such critical limitations	hyponym	none
CHECK POINT	SANDBLAST NETWORK	none	none
ZERO-DAY PROTECTION	SANDBLAST NETWORK	none	none
ZERO-DAY PROTECTION	CHECK POINT	hypernym	none
CHECK POINT	NUMBER	none	none
ZERO-DAY PROTECTION	NUMBER	hypernym	none
NUMBER	SANDBLAST NETWORK	none	none
SandBlast Network	world	none	none
Check Point	world	none	none
SandBlast Network	Check Point	none	none
revolutionary AI engines	email and web downloads	none	none
best2 zero-day protection	email and web downloads	concept	none
revolutionary AI engines	threat extraction	none	none
combination	best2 zero-day protection	instance	none
threat extraction	email and web downloads	hyponym	none
evasion-resistant threat emulation	combination	hypernym	none
combination	email and web downloads	hyponym	none
evasion-resistant threat emulation	email and web downloads	hypernym	none
combination	threat extraction	hyponym	none
combination	revolutionary AI engines	none	none
evasion-resistant threat emulation	threat extraction	hypernym	none
evasion-resistant threat emulation	revolutionary AI engines	none	none
prevention-first strategy	cyberattacks	hypernym	none
cyberattacks	social engineering	hypernym	none
SandBlast Network	prevention-first strategy	none	none
prevention-first strategy	organizations	none	none
SandBlast Network	organizations	none	none
cyberattacks	organizations	hypernym	none
social engineering	organizations	hypernym	none
SandBlast Network	phishing	hypernym	none
phishing	Trojans	instance	none
Trojans	social engineering	none	none
devastating attacks	organizations	hypernym	none
SandBlast Network	cyberattacks	hypernym	none
SandBlast Network	devastating attacks	none	none
unknown ransomware	social engineering	concept	none
SandBlast Network	social engineering	none	none
phishing	organizations	hypernym	none
unknown ransomware	organizations	hypernym	none
Trojans	organizations	none	none
prevention-first strategy	Trojans	none	none
phishing	unknown ransomware	hyponym	none
prevention-first strategy	unknown ransomware	none	none
phishing	prevention-first strategy	instance	none
SandBlast Network	Trojans	none	none
devastating attacks	prevention-first strategy	none	none
prevention-first strategy	social engineering	none	none
SandBlast Network	unknown ransomware	none	none
Trojans	unknown ransomware	none	none
current infrastructure	automated policy configuration	none	none
current infrastructure	agility	none	none
agility	automated policy configuration	hyponym	none
business productivity	agility	hypernym	none
SandBlast Network	current infrastructure	none	none
SandBlast Network	agility	none	none
SandBlast Network	automated policy configuration	none	none
business productivity	automated policy configuration	none	none
current infrastructure	business productivity	none	none
SandBlast Network	business productivity	none	none
SandBlast Network	record speed	none	none
world’s best malware catch rate	record speed	hypernym	none
world’s best malware catch rate	"numerous innovative, proprietary technologies"	none	none
world’s best malware catch rate	SandBlast Network	none	none
"numerous innovative, proprietary technologies"	SandBlast Network	none	none
"numerous innovative, proprietary technologies"	record speed	none	none
vast network	revolutionary AI	none	none
revolutionary AI	non-AI engines	none	none
non-AI engines	pre-emptive user protections	none	none
revolutionary AI	pre-emptive user protections	none	none
vast network	non-AI engines	none	none
vast network	pre-emptive user protections	hyponym	none
pre-emptive user protections	moment	none	none
revolutionary AI	moment	none	none
non-AI engines	moment	none	none
vast network	moment	none	none
users	web	concept	none
Pre-emptive User Protections	email	hypernym	none
advanced email protections	users	hypernym	none
advanced email protections	web	hypernym	none
SandBlast network	users	none	none
users	pre-emptive user protections	hyponym	none
SandBlast network	web	hypernym	none
web	threat extraction	none	none
SandBlast network	pre-emptive user protections	none	none
SandBlast network	threat extraction	none	none
Pre-emptive User Protections	SandBlast network	none	none
email	threat extraction	hyponym	none
advanced email protections	threat extraction	hypernym	none
SandBlast network	email	hypernym	none
users	threat extraction	hyponym	none
advanced email protections	email	hypernym	none
email	web	hypernym	none
email	users	hypernym	none
Pre-emptive User Protections	web	hypernym	none
web	pre-emptive user protections	none	none
Pre-emptive User Protections	users	hypernym	none
advanced email protections	SandBlast network	none	none
Pre-emptive User Protections	pre-emptive user protections	none	none
email	pre-emptive user protections	hyponym	none
SandBlast Threat Extraction	web	hypernym	none
SandBlast Threat Extraction	malicious files	none	none
web	malicious files	hyponym	none
email	clean and reconstructed versions	instance	none
web	clean and reconstructed versions	none	none
malicious files	clean and reconstructed versions	none	none
email	malicious files	hyponym	none
email	SandBlast Threat Extraction	none	none
SandBlast Threat Extraction	clean and reconstructed versions	none	none
unacceptable delays	malicious content	hypernym	none
traditional sandboxes	users	hypernym	none
emulation	first strategy	hypernym	none
traditional sandboxes	first strategy	none	none
emulation	practical prevention	hyponym	none
background	emulation	hypernym	none
background	practical prevention	none	none
unacceptable delays	traditional sandboxes	instance	none
unacceptable delays	users	hypernym	none
malicious content	users	hypernym	none
background	SandBlast Threat Extraction	none	none
background	traditional sandboxes	none	none
background	malicious content	none	none
first strategy	SandBlast Threat Extraction	none	none
unacceptable delays	first strategy	instance	none
malicious content	uninterrupted business flow	hyponym	none
SandBlast Threat Extraction	uninterrupted business flow	none	none
unacceptable delays	emulation	hypernym	none
users	practical prevention	hyponym	none
emulation	malicious content	hyponym	none
traditional sandboxes	uninterrupted business flow	none	none
unacceptable delays	SandBlast Threat Extraction	none	none
first strategy	uninterrupted business flow	none	none
malicious content	SandBlast Threat Extraction	none	none
uninterrupted business flow	practical prevention	hypernym	none
background	users	none	none
first strategy	practical prevention	hypernym	none
background	first strategy	none	none
traditional sandboxes	emulation	hypernym	none
traditional sandboxes	practical prevention	none	none
unacceptable delays	background	hypernym	none
first strategy	users	hypernym	none
unacceptable delays	uninterrupted business flow	none	none
emulation	users	instance	none
SandBlast Threat Extraction	practical prevention	none	none
unacceptable delays	practical prevention	hypernym	none
users	uninterrupted business flow	hyponym	none
malicious content	practical prevention	concept	none
SandBlast Threat Extraction	users	none	none
traditional sandboxes	SandBlast Threat Extraction	none	none
traditional sandboxes	malicious content	none	none
first strategy	malicious content	hypernym	none
emulation	SandBlast Threat Extraction	instance	none
background	uninterrupted business flow	none	none
emulation	uninterrupted business flow	instance	none
SandBlast Threat Extraction	industry	hypernym	none
web downloads	industry	hypernym	none
integrated document and image sanitization solution	industry	hypernym	none
email	industry	hypernym	none
integrated document and image sanitization solution	email	hypernym	none
integrated document and image sanitization solution	SandBlast Threat Extraction	none	none
web downloads	email	hypernym	none
integrated document and image sanitization solution	web downloads	hypernym	none
web downloads	SandBlast Threat Extraction	none	none
other email-based threats	phishing	hypernym	none
94%	worldwide breaches3	none	none
phishing	emails	hypernym	none
94%	emails	concept	none
other email-based threats	BEC	none	none
other email-based threats	emails	hypernym	none
BEC	worldwide breaches3	none	none
94%	other email-based threats	none	none
