kid	heart	none	none
cheesy slice	best pizza	hypernym	none
last slice	vegetarians	none	none
pizza slice	vegetarians	hypernym	none
pizza slice	last slice	hypernym	none
chicken tikka-	crisp capsicum	hyponym	none
chicken tikka-	grilled mushroom	hyponym	none
chicken tikka-	onion	hyponym	none
grilled mushroom	extra cheese	hypernym	none
black olives	pizza	hypernym	none
non-veg toppings	grilled mushroom	none	none
non-veg toppings	crisp capsicum	hyponym	none
toppings - from paneer	pizza	hypernym	none
non-veg toppings	extra cheese	none	none
chicken tikka-	peri-peri chicken	hyponym	none
toppings - from paneer	onion	none	none
non-veg toppings	peri-peri chicken	hyponym	none
toppings - from paneer	jalapeno	none	none
chicken tikka-	jalapeno	hyponym	none
chicken tikka-	toppings - from paneer	hyponym	none
toppings - from paneer	crisp capsicum	hyponym	none
non-veg toppings	black olives	none	none
crisp capsicum	pizza	hypernym	none
non-veg toppings	onion	none	none
chicken tikka-	non-veg toppings	hypernym	none
non-veg toppings	pizza	hypernym	none
grilled mushroom	crisp capsicum	hyponym	none
grilled mushroom	onion	hypernym	none
non-veg toppings	fresh tomato	none	none
crisp capsicum	peri-peri chicken	hyponym	none
extra cheese	black olives	hyponym	none
crisp capsicum	fresh tomato	hyponym	none
grilled mushroom	peri-peri chicken	hypernym	none
chicken sausage	pizza	hypernym	none
crisp capsicum	black olives	hyponym	none
extra cheese	peri-peri chicken	hyponym	none
grilled mushroom	black olives	hyponym	none
chicken sausage	extra cheese	hyponym	none
extra cheese	crisp capsicum	hyponym	none
chicken sausage	toppings - from paneer	hyponym	none
toppings - from paneer	peri-peri chicken	hyponym	none
extra cheese	onion	none	none
chicken tikka-	pizza	hypernym	none
chicken sausage	fresh tomato	hyponym	none
onion	peri-peri chicken	hyponym	none
toppings - from paneer	black olives	none	none
jalapeno	fresh tomato	hyponym	none
onion	fresh tomato	none	none
extra cheese	pizza	hypernym	none
pizza	peri-peri chicken	hyponym	none
onion	black olives	none	none
chicken sausage	grilled mushroom	hyponym	none
chicken tikka-	chicken sausage	hypernym	none
grilled mushroom	jalapeno	hypernym	none
fresh tomato	black olives	none	none
toppings - from paneer	fresh tomato	none	none
non-veg toppings	jalapeno	none	none
crisp capsicum	onion	none	none
toppings - from paneer	extra cheese	none	none
chicken tikka-	extra cheese	hyponym	none
jalapeno	extra cheese	hyponym	none
grilled mushroom	pizza	hypernym	none
chicken sausage	peri-peri chicken	hyponym	none
chicken sausage	black olives	hyponym	none
fresh tomato	peri-peri chicken	hyponym	none
grilled mushroom	fresh tomato	hypernym	none
chicken sausage	onion	hypernym	none
toppings - from paneer	grilled mushroom	none	none
onion	pizza	hypernym	none
jalapeno	black olives	hyponym	none
fresh tomato	pizza	hypernym	none
jalapeno	peri-peri chicken	hyponym	none
chicken sausage	jalapeno	hypernym	none
jalapeno	crisp capsicum	hyponym	none
chicken sausage	crisp capsicum	hyponym	none
chicken sausage	non-veg toppings	hypernym	none
chicken tikka-	fresh tomato	hyponym	none
jalapeno	onion	none	none
black olives	peri-peri chicken	hyponym	none
non-veg toppings	toppings - from paneer	hyponym	none
extra cheese	fresh tomato	hyponym	none
chicken tikka-	black olives	hyponym	none
jalapeno	pizza	hyponym	none
New hand-tossed crust	wheat thin crust	hyponym	none
fresh pan pizza	wheat thin crust	hyponym	none
fresh pan pizza	New hand-tossed crust	hyponym	none
fresh pan pizza	cheese	hypernym	none
classic hand-tossed crust	wheat thin crust	hyponym	none
New hand-tossed crust	cheese	none	none
New hand-tossed crust	classic hand-tossed crust	hyponym	none
fresh pan pizza	classic hand-tossed crust	hyponym	none
classic hand-tossed crust	cheese	none	none
cheese	wheat thin crust	hyponym	none
Domino	pizza	hypernym	none
toppings	Pizza	hypernym	none
custom pizzas	Pizza	hypernym	none
crust styles	toppings	none	none
custom pizzas	toppings	hypernym	none
crust styles	Pizza	hypernym	none
custom pizzas	crust styles	hyponym	none
bread bowls	pasta	hypernym	none
desserts	beverages	hypernym	none
desserts	menu	hypernym	none
beverages	menu	none	none
