IXIA THREATARMOR Hyper Box	Japanese Internet industry	none	none
recent years	HYPER BOX TACKLES ATTACK TRAFFIC	none	none
glut	cyberattacks	instance	none
IXIA THREATARMOR Hyper Box	veteran	none	none
veteran	Japanese Internet industry	none	none
glut	HYPER BOX TACKLES ATTACK TRAFFIC	none	none
recent years	cyberattacks	none	none
HYPER BOX TACKLES ATTACK TRAFFIC	cyberattacks	hypernym	none
HYPER BOX TACKLES ATTACK TRAFFIC	veteran	none	none
recent years	Japanese Internet industry	none	none
recent years	veteran	none	none
IXIA THREATARMOR Hyper Box	HYPER BOX TACKLES ATTACK TRAFFIC	none	none
HYPER BOX TACKLES ATTACK TRAFFIC	Japanese Internet industry	none	none
glut	veteran	none	none
IXIA THREATARMOR Hyper Box	cyberattacks	hypernym	none
cyberattacks	Japanese Internet industry	instance	none
glut	Japanese Internet industry	none	none
veteran	cyberattacks	none	none
recent years	IXIA THREATARMOR Hyper Box	none	none
glut	IXIA THREATARMOR Hyper Box	none	none
glut	recent years	none	none
they service	shared network	hyponym	none
daily basis	shared network	none	none
daily basis	they service	none	none
attacks	shared network	none	none
they service	they	hypernym	none
they service	attacks	none	none
logs	they service	none	none
they	shared network	hyponym	none
logs	shared network	none	none
powerful security devices	they service	hypernym	none
powerful security devices	logs	hypernym	none
logs	they	hypernym	none
logs	daily basis	instance	none
logs	attacks	hypernym	none
daily basis	they	hypernym	none
attacks	they	hypernym	none
powerful security devices	shared network	hypernym	none
daily basis	attacks	hypernym	none
powerful security devices	they	hypernym	none
powerful security devices	daily basis	none	none
powerful security devices	attacks	hypernym	none
Hyper Box promise	Hyper Box	none	none
Hyper Box promise	Ixia ThreatARMOR	none	none
Ixia ThreatARMOR	Hyper Box	none	none
SIEM alerts	result	none	none
known bad IP addresses	result	hypernym	none
Hyper Box promise	SIEM alerts	none	none
Ixia ThreatARMOR	SIEM alerts	none	none
known bad IP addresses	SIEM alerts	none	none
SIEM alerts	Hyper Box	none	none
result	Hyper Box	none	none
Hyper Box promise	result	none	none
Hyper Box promise	known bad IP addresses	none	none
Ixia ThreatARMOR	known bad IP addresses	none	none
Ixia ThreatARMOR	result	none	none
known bad IP addresses	Hyper Box	none	none
Hyper Box’s strength data centers	Tokyo	none	none
Tokyo	Hyper Box’s strength	none	none
strength robust support structure	Hyper Box’s strength	none	none
Tokyo	strength robust support structure	none	none
Hyper Box’s strength data centers	strength robust support structure	none	none
Hyper Box’s strength data centers	Hyper Box’s strength	none	none
"industry low-cost, high-quality hosting services"	telephone assistance	hypernym	none
telephone assistance	Hyper Box	none	none
Japan’s first domestic enterprise	industry	none	none
Japan’s first domestic enterprise	telephone assistance	none	none
industry	Hyper Box	none	none
"industry low-cost, high-quality hosting services"	industry	hypernym	none
"industry low-cost, high-quality hosting services"	Hyper Box	none	none
Japan’s first domestic enterprise	"industry low-cost, high-quality hosting services"	none	none
telephone assistance	industry	hypernym	none
Japan’s first domestic enterprise	Hyper Box	none	instance
wide range	users	concept	none
technical experience	Hyper Box	none	none
years	wide range	hyponym	none
technical experience	years	hypernym	none
technical experience	users	none	none
technical experience	wide range	none	none
wide range	Hyper Box	none	none
years	Hyper Box	none	none
years	users	none	none
users	Hyper Box	none	none
AUTOMATED RESPONSES	MASSIVE ATTACK TRAFFIC	none	none
MASSIVE ATTACK TRAFFIC	MANUAL	hypernym	none
AUTOMATED RESPONSES	MANUAL	hypernym	none
cyberattacks	domestic and international service providers	instance	none
cyberattacks	Hyper Box	instance	none
domestic and international service providers	Hyper Box	none	none
attack traffic	network	hypernym	none
onslaught	attack traffic	none	none
