cloudbased Office 365 data such	secure Barracuda cloud	concept	none
Cisco ASA 5500X firewall	user	none	none
capability	Cisco ASA 5500X Series NextGeneration Firewalls	instance	none
Cisco	Learn	concept	none
protection	Cisco	instance	none
FirePOWER	Cisco	hypernym	none
inspection	Cisco ASA 5500X Series NextGeneration Firewalls	instance	none
ASA 5585X Adaptive Security Appliances	proven Cisco ASA firewall protection	concept	concept
Barracuda	SecOps	none	none
Cisco ASA 5500X firewall	protection	concept	concept
backup solution	Barracuda	hypernym	none
Cisco ASA 5500X firewall	network	none	none
first threatfocused nextgeneration firewall	proven Cisco ASA firewall protection	hypernym	none
nextgeneration firewall capability	Cisco ASA 5500X Series NextGeneration Firewalls	instance	none
Barracuda Cloud Generation network	hybrid network	none	none
money	Barracuda Cloud Generation network	instance	none
range	Cisco ASA 5500X Series NextGeneration Firewalls help	none	none
Cisco Adaptive Security Appliance	Cisco ASA 5500X Series NextGeneration Firewalls	hyponym	instance
operation	Barracuda	hypernym	none
Barracuda	tool	none	none
Cisco ASA	solution	concept	concept
vendor	Barracuda	hypernym	instance
infrastructure look	Barracuda	instance	none
form factor	Cisco ASA 5500X Series NextGeneration Firewalls	instance	none
Barracuda	range	concept	none
cost	Cisco	instance	none
inspection	Cisco Adaptive Security Appliance	none	none
integrity	Barracuda	instance	none
Barracuda	web application	none	none
performance	Cisco ASA 5500X Series NextGeneration Firewalls	none	none
Barracuda	security control	hyponym	none
layer	Barracuda	none	none
following capability	Cisco ASA 5500X Series NextGeneration Firewalls	none	none
Cisco ASA 5500X Series NextGeneration Firewalls help	service	hypernym	concept
Barracuda	network	none	none
Cisco ASA	industry	concept	none
Barracuda Cloud Generation network	multiple site	hypernym	none
connection	Barracuda Cloud Generation network	instance	none
Barracuda Cloud Generation network	network	concept	concept
enterpriseclass stateful inspection	Cisco ASA 5500X Series NextGeneration Firewalls	none	none
Barracuda	loss	hypernym	none
ASA	proven Cisco ASA firewall protection	instance	none
cloudbased Office 365 data such	Barracuda	concept	none
public cloud	Barracuda	hypernym	none
efficiency	Cisco	none	none
industryleading Sourcefire threat	Cisco	hypernym	none
Barracuda	Data	concept	none
available	Cisco ASA	instance	none
Data	secure Barracuda cloud	hyponym	none
ASA	Cisco ASA 5500X Series NextGeneration Firewalls	instance	instance
Barracuda	application	hypernym	none
Barracuda Cloud Generation network	onpremises	instance	none
industry	Barracuda	hypernym	none
Barracuda	device	concept	none
connection	Barracuda	hyponym	none
Cisco Adaptive Security Appliance	ASA	hypernym	concept
Barracuda	infrastructure cost	hypernym	none
solution	Cisco	instance	none
Barracuda	infrastructure	none	none
multiple vendor	secure Barracuda cloud	hypernym	none
Barracuda	data  regardless	hypernym	none
reliable connection	Barracuda Cloud Generation network	hypernym	none
Barracuda	gateway defense	none	none
Cisco ASA	Cisco Cisco ASA 5500X Series	instance	instance
combination	Cisco ASA 5500X Series NextGeneration Firewalls help	instance	none
malware protection	Cisco	hypernym	none
ASA 5585X Adaptive Security Appliances	Cisco	concept	none
Barracuda	workload	none	none
Cisco ASA	industryleading Sourcefire threat	concept	none
effectiveness	Cisco ASA 5500X Series NextGeneration Firewalls help	instance	none
unlimited storage	Barracuda	hypernym	none
available	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
Barracuda	data	concept	none
awareness	Barracuda	none	none
email infrastructure	Barracuda	hypernym	none
available	Cisco	instance	none
storage	Barracuda	hyponym	none
cloud application	Barracuda	hypernym	instance
Cisco ASA	proven Cisco ASA firewall protection	concept	none
approach	secure Barracuda cloud	hyponym	none
management	Cisco	hypernym	none
single device	proven Cisco ASA firewall protection	instance	none
available	proven Cisco ASA firewall protection	none	none
Cisco ASA 5500X firewall	firewall	hypernym	concept
protection	proven Cisco ASA firewall protection	none	instance
complexity	Cisco ASA 5500X firewall	concept	none
fraud protection	Barracuda	hypernym	none
factor	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
premise	Barracuda	hyponym	none
Barracuda	Public Cloud Security product	concept	none
Barracuda	multiple layer	hypernym	none
Cisco ASA	malware protection	hypernym	none
Barracuda	hybrid network	hyponym	none
Barracuda	first solution purposebuilt	none	none
monitor compliance policy	Barracuda	hypernym	none
need	Barracuda	none	none
malware protection	proven Cisco ASA firewall protection	instance	none
Barracuda	important	concept	none
Cisco ASA	ASA	hypernym	concept
Barracuda	Barracuda Cloud Generation network	hypernym	none
Barracuda Cloud Generation network	infrastructure cost	concept	none
proven Cisco ASA firewall protection	industry	hypernym	none
availability risk management	Cisco	instance	none
Cisco ASA 5500X firewall	threat	hypernym	none
Barracuda	business	none	none
damage	Barracuda	none	none
ASA	Cisco Cisco ASA 5500X Series	none	instance
targeted cyberattacks	Barracuda	hypernym	none
control	Barracuda	hypernym	none
Cisco ASA	first threatfocused nextgeneration firewall	instance	none
theft	Barracuda	hypernym	none
Cisco ASA 5500X Series NextGeneration Firewalls help	security effectiveness	concept	none
money	Barracuda	none	none
Cisco ASA 5500X firewall	risk	hypernym	none
Barracuda Cloud Generation network	consumptionbased pricing	none	none
solution	Barracuda	hypernym	none
public cloud	secure Barracuda cloud	hyponym	instance
Barracuda	matter	hypernym	none
Cisco Adaptive Security Appliance	nextgeneration firewall capability	hypernym	none
nextgeneration network security service	Cisco ASA 5500X Series NextGeneration Firewalls help	concept	none
solution	Cisco Cisco ASA 5500X Series	instance	none
Cisco	proven Cisco ASA firewall protection	instance	none
resiliency	Barracuda	none	none
Cisco ASA	FirePOWER	hypernym	none
Barracuda	compromise business integrity	hyponym	none
Barracuda Cloud Generation network	firewall	hypernym	none
need	secure Barracuda cloud	hypernym	none
Barracuda Cloud Generation network	look	hypernym	none
location	Barracuda	none	none
Barracuda	highperformance network solution reside	hypernym	none
malware protection	Cisco Cisco ASA 5500X Series	instance	none
Barracuda	reside	none	none
remediation	Barracuda	hypernym	none
cloud	secure Barracuda cloud	none	instance
ASA software	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
financial damage	Barracuda	hypernym	none
email	secure Barracuda cloud	instance	none
Cisco ASA 5500X firewall	productivity	none	none
email resiliency	Barracuda	hypernym	none
first threatfocused nextgeneration firewall	Cisco	concept	none
Barracuda	network perimeter	hypernym	none
purposebuilt	Barracuda Cloud Generation network	none	none
familiar developer tool	Barracuda	hypernym	none
Cisco Cisco ASA 5500X Series	industryleading Sourcefire threat	concept	none
Barracuda Cloud Generation network	secure	concept	none
loss	secure Barracuda cloud	hyponym	none
Cisco ASA 5500X firewall	application	concept	concept
data loss	secure Barracuda cloud	hyponym	none
Barracuda	75	hypernym	none
Barracuda Cloud Generation network	data  regardless	concept	none
Cisco	device	hypernym	none
Cisco ASA 5500X firewall	device	concept	none
Barracuda	DevOps	hypernym	none
Cisco Cisco ASA 5500X Series	device	concept	none
Barracuda	cost	concept	none
Firewalls	Cisco Adaptive Security Appliance	instance	instance
