risks	risk	none	none
data	Protecting Data	hyponym	none
value	data	hypernym	none
concerns	security issues	hyponym	none
security	integrity	instance	none
security	data	hyponym	none
Data	data	instance	none
Authentication	secure manner	hyponym	none
Security solutions	security	hypernym	none
Physical Security	DCPhysical security	instance	none
specialized security team	physical security	hypernym	none
firewalls	network security	hyponym	none
intrusion detection	intrusion prevention	hypernym	none
Encryption	data	hypernym	none
policy	risk	hypernym	none
authentication	encryption keys	hyponym	none
protected data	data	hypernym	none
threats	attackers	hyponym	none
Security Information	enterprise-wide security data	instance	none
security teams	Security Information	hypernym	none
security teams	disparate security data	instance	none
critical risks	known threats	hypernym	none
critical risks	unknown threats	hypernym	none
sensitive data	data	hypernym	none
unknown threats	known threats	hypernym	none
vulnerability information	security intelligence	hypernym	none
security intelligence	threat intelligence	hypernym	none
threats	threat intelligence	hyponym	none
privacy	security	hypernym	none
reliability	security	hypernym	none
authentication	authorization	hyponym	none
authentication	identity	hypernym	none
cyber threat information sharing	cyber threats	hypernym	none
data SA	data	hypernym	none
Hackers	Hackers code	hyponym	none
Threat detection tools	potential threats	hypernym	none
attackers	two vulnerabilities	hyponym	none
authentication	identity	hyponym	none
permissions	policy	hypernym	none
phishing	cyberattacks	hypernym	none
phishing	emails	hypernym	none
risk	threats	hypernym	none
zero-day phishing	malware	concept	none
multiple security features	content security	hypernym	none
personal firewall	port protection	hypernym	none
security protections	content security	hyponym	none
advanced threat prevention	intrusion prevention	hypernym	none
intrusion prevention	firewall	hypernym	none
security protections	advanced threat prevention	hyponym	none
security protections	firewall	hypernym	none
Security Gateway	firewall	hypernym	none
Security Gateway	security protections	hypernym	none
Security Gateway	intrusion prevention	hypernym	none
security protections	intrusion prevention	hyponym	none
Security Gateway	content security	hypernym	none
vulnerability	attackers	hyponym	none
Organization information	information security SA management system	hyponym	none
information security	Information Security Policies	hyponym	none
security groups	security port	hypernym	none
security port Checks	security port	hypernym	none
Database security	database confidentiality	hyponym	none
database	data	hyponym	none
information security technologies	database Database security	hyponym	none
threats	security threats	hyponym	none
data breach	confidentiality	hyponym	none
data breach	database	hypernym	none
data breach	data	hypernym	none
data protection	cyberattacks	hyponym	none
breaches	vulnerabilities	hypernym	none
database security attacks	vulnerabilities	hypernym	none
security threat	insider threat	hyponym	none
phishing	credentials	hypernym	none
credentials	credential database	hyponym	none
software	vulnerabilities	hyponym	none
Hackers	vulnerabilities	hypernym	none
database	software	hypernym	none
database	backup data	hyponym	none
databases	database	instance	none
security threat	threat	hypernym	none
database	database security	hyponym	none
credential data	database	hypernym	none
credential data	data	hypernym	none
database security	database	hypernym	none
Database security policies	cybersecurity policies	instance	none
security awareness training	Security controls	hypernym	none
formal security policies	Security controls	hypernym	none
databases	data activities	hyponym	none
data exploration	databases	hypernym	none
capabilities	security	hypernym	none
native security capabilities	data protection capabilities	hypernym	none
native security capabilities	IBM Cloud Security	instance	none
data discovery	databases	hypernym	none
data discovery	big data	hyponym	none
databases	big data	hyponym	none
security optimization	IBM Security Guardium	instance	none
smarter data protection platform	security optimization	hypernym	none
security optimization	encryption	hypernym	none
data discovery	data	hypernym	none
Data Security Services	data	hypernym	none
encryption	data	hypernym	none
Data Security Services	data discovery	hypernym	none
security	Security concerns	hyponym	none
databases	data	hypernym	none
phishing scams	cyber security threats	hypernym	none
common cyber security threats	Malware	hypernym	none
Security	data	instance	none
database	data	hyponym	none
Database security	databases	hypernym	none
Physical database security	databases	hypernym	none
Physical database security servers	databases	hypernym	none
Physical database security servers	Physical database security	hyponym	none
Physical database security	database	hypernym	none
intruders	Firewalls	hypernym	none
Encryption	database	hypernym	none
Encryption	data	hypernym	none
data privacy	Database encryption	hyponym	none
IoT security	Database encryption	hyponym	none
permissions	passwords	hypernym	none
