cloudbased Office 365 data such	secure Barracuda cloud	hypernym	none
Cisco ASA 5500X firewall	user	hypernym	none
capability	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
Cisco	Learn	hypernym	none
protection	Cisco	hypernym	none
FirePOWER	Cisco	hypernym	none
inspection	Cisco ASA 5500X Series NextGeneration Firewalls	none	none
ASA 5585X Adaptive Security Appliances	proven Cisco ASA firewall protection	concept	concept
Barracuda	SecOps	none	none
Cisco ASA 5500X firewall	protection	hypernym	concept
backup solution	Barracuda	hypernym	none
Cisco ASA 5500X firewall	network	none	none
first threatfocused nextgeneration firewall	proven Cisco ASA firewall protection	hypernym	none
nextgeneration firewall capability	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
Barracuda Cloud Generation network	hybrid network	none	none
money	Barracuda Cloud Generation network	instance	none
range	Cisco ASA 5500X Series NextGeneration Firewalls help	none	none
Cisco Adaptive Security Appliance	Cisco ASA 5500X Series NextGeneration Firewalls	none	instance
operation	Barracuda	hypernym	none
Barracuda	tool	hypernym	none
Cisco ASA	solution	hypernym	concept
vendor	Barracuda	hypernym	instance
infrastructure look	Barracuda	instance	none
form factor	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
Barracuda	range	concept	none
cost	Cisco	none	none
inspection	Cisco Adaptive Security Appliance	none	none
integrity	Barracuda	instance	none
Barracuda	web application	hypernym	none
performance	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
Barracuda	security control	hyponym	none
layer	Barracuda	none	none
following capability	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
Cisco ASA 5500X Series NextGeneration Firewalls help	service	hypernym	concept
Barracuda	network	hypernym	none
Cisco ASA	industry	hypernym	none
Barracuda Cloud Generation network	multiple site	hypernym	none
connection	Barracuda Cloud Generation network	instance	none
Barracuda Cloud Generation network	network	concept	concept
enterpriseclass stateful inspection	Cisco ASA 5500X Series NextGeneration Firewalls	none	none
Barracuda	loss	hypernym	none
ASA	proven Cisco ASA firewall protection	instance	none
cloudbased Office 365 data such	Barracuda	none	none
public cloud	Barracuda	hypernym	none
efficiency	Cisco	none	none
industryleading Sourcefire threat	Cisco	hypernym	none
Barracuda	Data	concept	none
available	Cisco ASA	hypernym	none
Data	secure Barracuda cloud	hyponym	none
ASA	Cisco ASA 5500X Series NextGeneration Firewalls	instance	instance
Barracuda	application	hypernym	none
Barracuda Cloud Generation network	onpremises	hypernym	none
industry	Barracuda	hypernym	none
Barracuda	device	concept	none
connection	Barracuda	hyponym	none
Cisco Adaptive Security Appliance	ASA	hypernym	concept
Barracuda	infrastructure cost	hypernym	none
solution	Cisco	hypernym	none
Barracuda	infrastructure	none	none
multiple vendor	secure Barracuda cloud	hypernym	none
Barracuda	data  regardless	hypernym	none
reliable connection	Barracuda Cloud Generation network	hypernym	none
Barracuda	gateway defense	hypernym	none
Cisco ASA	Cisco Cisco ASA 5500X Series	instance	instance
combination	Cisco ASA 5500X Series NextGeneration Firewalls help	hypernym	none
malware protection	Cisco	hypernym	none
ASA 5585X Adaptive Security Appliances	Cisco	concept	none
Barracuda	workload	hypernym	none
Cisco ASA	industryleading Sourcefire threat	concept	none
effectiveness	Cisco ASA 5500X Series NextGeneration Firewalls help	hyponym	none
unlimited storage	Barracuda	hypernym	none
available	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
Barracuda	data	concept	none
awareness	Barracuda	none	none
email infrastructure	Barracuda	hypernym	none
available	Cisco	instance	none
storage	Barracuda	hyponym	none
cloud application	Barracuda	hypernym	instance
Cisco ASA	proven Cisco ASA firewall protection	concept	none
approach	secure Barracuda cloud	hypernym	none
management	Cisco	hypernym	none
single device	proven Cisco ASA firewall protection	hypernym	none
available	proven Cisco ASA firewall protection	hyponym	none
Cisco ASA 5500X firewall	firewall	hypernym	concept
protection	proven Cisco ASA firewall protection	none	instance
complexity	Cisco ASA 5500X firewall	none	none
fraud protection	Barracuda	hypernym	none
factor	Cisco ASA 5500X Series NextGeneration Firewalls	hypernym	none
premise	Barracuda	hypernym	none
Barracuda	Public Cloud Security product	hypernym	none
Barracuda	multiple layer	hypernym	none
Cisco ASA	malware protection	hypernym	none
Barracuda	hybrid network	hypernym	none
Barracuda	first solution purposebuilt	none	none
monitor compliance policy	Barracuda	hypernym	none
need	Barracuda	hypernym	none
malware protection	proven Cisco ASA firewall protection	hypernym	none
