risks	risk	hypernym	none
data	Protecting Data	hyponym	none
value	data	hypernym	none
concerns	security issues	hyponym	none
security	integrity	hypernym	none
security	data	hyponym	none
Data	data	hyponym	none
Authentication	secure manner	hyponym	none
Security solutions	security	hypernym	none
Physical Security	DCPhysical security	hyponym	none
specialized security team	physical security	hypernym	none
firewalls	network security	hyponym	none
intrusion detection	intrusion prevention	hyponym	none
Encryption	data	hypernym	none
policy	risk	hypernym	none
authentication	encryption keys	hyponym	none
protected data	data	hypernym	none
threats	attackers	hypernym	none
Security Information	enterprise-wide security data	hyponym	none
security teams	Security Information	hypernym	none
security teams	disparate security data	hyponym	none
critical risks	known threats	hypernym	none
critical risks	unknown threats	hypernym	none
sensitive data	data	hypernym	none
unknown threats	known threats	hypernym	none
vulnerability information	security intelligence	hyponym	none
security intelligence	threat intelligence	hypernym	none
threats	threat intelligence	hyponym	none
privacy	security	hyponym	none
reliability	security	hypernym	none
authentication	authorization	hypernym	none
authentication	identity	hypernym	none
cyber threat information sharing	cyber threats	hypernym	none
data SA	data	hypernym	none
Hackers	Hackers code	hyponym	none
Threat detection tools	potential threats	hypernym	none
attackers	two vulnerabilities	hyponym	none
authentication	identity	hypernym	none
permissions	policy	hypernym	none
phishing	cyberattacks	hypernym	none
phishing	emails	hypernym	none
risk	threats	hypernym	none
zero-day phishing	malware	concept	none
multiple security features	content security	hypernym	none
personal firewall	port protection	hypernym	none
security protections	content security	hyponym	none
advanced threat prevention	intrusion prevention	hypernym	none
intrusion prevention	firewall	hypernym	none
security protections	advanced threat prevention	hyponym	none
security protections	firewall	hypernym	none
Security Gateway	firewall	hypernym	none
Security Gateway	security protections	hypernym	none
Security Gateway	intrusion prevention	hypernym	none
security protections	intrusion prevention	hyponym	none
Security Gateway	content security	hypernym	none
vulnerability	attackers	hyponym	none
Organization information	information security SA management system	hyponym	none
information security	Information Security Policies	hyponym	none
security groups	security port	hypernym	none
security port Checks	security port	hypernym	none
Database security	database confidentiality	hyponym	none
database	data	hypernym	none
information security technologies	database Database security	hyponym	none
threats	security threats	hyponym	none
data breach	confidentiality	hypernym	none
data breach	database	hypernym	none
data breach	data	hypernym	none
data protection	cyberattacks	hyponym	none
breaches	vulnerabilities	hypernym	none
database security attacks	vulnerabilities	hypernym	none
security threat	insider threat	hyponym	none
phishing	credentials	hypernym	none
credentials	credential database	hyponym	none
software	vulnerabilities	hypernym	none
Hackers	vulnerabilities	hypernym	none
database	software	hypernym	none
database	backup data	hyponym	none
databases	database	hypernym	none
security threat	threat	hypernym	none
database	database security	hyponym	none
credential data	database	hypernym	none
credential data	data	hypernym	none
database security	database	hypernym	none
Database security policies	cybersecurity policies	hyponym	none
security awareness training	Security controls	hypernym	none
formal security policies	Security controls	hypernym	none
databases	data activities	hyponym	none
data exploration	databases	hypernym	none
capabilities	security	hypernym	none
native security capabilities	data protection capabilities	hypernym	none
native security capabilities	IBM Cloud Security	hypernym	none
data discovery	databases	hypernym	none
data discovery	big data	hyponym	none
databases	big data	hyponym	none
security optimization	IBM Security Guardium	instance	none
smarter data protection platform	security optimization	hypernym	none
security optimization	encryption	hypernym	none
data discovery	data	hypernym	none
Data Security Services	data	hypernym	none
encryption	data	hyponym	none
Data Security Services	data discovery	hypernym	none
security	Security concerns	hyponym	none
databases	data	hypernym	none
phishing scams	cyber security threats	hypernym	none
common cyber security threats	Malware	hypernym	none
Security	data	hyponym	none
database	data	hypernym	none
Database security	databases	hypernym	none
Physical database security	databases	hypernym	none
Physical database security servers	databases	hypernym	none
Physical database security servers	Physical database security	hyponym	none
Physical database security	database	hypernym	none
intruders	Firewalls	hyponym	none
Encryption	database	hypernym	none
Encryption	data	hypernym	none
data privacy	Database encryption	hyponym	none
IoT security	Database encryption	hyponym	none
permissions	passwords	hypernym	none
database security	passwords	hypernym	none
passwords	input credentials	hyponym	none
encryption	database layer security	hyponym	none
database security	protection	hypernym	none
breaches	data breaches	hyponym	none
sensitive, protected, or confidential data	data breach	hypernym	none
PII	Data breaches	hyponym	none
Data breaches	identifiable information	hyponym	none
personal health information	PII	hypernym	none
personal health information	identifiable information	hypernym	none
PII	identifiable information	hyponym	none
Data breaches	data	hypernym	none
disclosed data breaches	data breaches	hypernym	none
data breaches	sensitive information	hyponym	none
technology	data	hypernym	none
electronic data	data	hypernym	none
electronic data	technology	hypernym	none
Malware	software	hypernym	none
software	Malware	hyponym	none
warning	warning” message	hyponym	none
malicious software	Malware	hypernym	none
malicious software	software	hypernym	none
security breaches	data breaches	hyponym	none
data elements	data breaches	hyponym	none
data elements	information	hypernym	none
information	data breaches	hyponym	none
breaches	sensitive information	hyponym	none
database	data	hypernym	none
that data	database	hypernym	none
that data	data	hypernym	none
content	data	hyponym	none
input data	data	hypernym	none
Authentication	authentication	hypernym	none
Password Requirements	Passwords	hypernym	none
credential	password	hypernym	none
information	credential	hyponym	none
information	password	hyponym	none
passwords	biometrics	hyponym	none
digital authentication	biometrics	hypernym	none
digital authentication	authentication	hypernym	none
biometrics	authentication	hypernym	none
digital authentication knowledge	authentication	hypernym	none
digital authentication	digital authentication knowledge	hyponym	none
cryptographic protocol	authentication	hypernym	none
authentication	authentication assurance	hyponym	none
data	value	hypernym	none
secure’ flag	secure channel	hypernym	none
firewall	network protection	hyponym	none
capabilities	detection	hypernym	none
IoT	data	concept	none
security engineering	security systems	hypernym	none
security engineering	security rule development	hyponym	none
attackers	easy vulnerability	hyponym	none
vulnerability	Security wonks	hyponym	none
authorization	authentication	hypernym	none
backend	authentication	hyponym	none
Security	backend	hyponym	none
Security orthodoxy	Security	hypernym	none
authentication	authorization	hypernym	none
database	authentication	hyponym	none
database	backend	hyponym	none
security researchers	vulnerability security researchers	hyponym	none
authentication	security	hypernym	none
database	data	hypernym	none
secure products	secure code reviews	hyponym	none
vulnerability	attackers	hyponym	none
software	detection	hypernym	none
internet	data	hypernym	none
personal data	work data	hypernym	none
personal data	personal information	hypernym	none
IT security risks	Physical security	hyponym	none
corporate data	work data	hyponym	none
corporate data	personal information	hyponym	none
personal data	corporate data	hypernym	none
threats	vulnerabilities	hypernym	none
IoT	internet	hypernym	none
operational security effectiveness	security operations	hypernym	none
operational security	network and security operations teams	hyponym	none
Security operations teams organizations	Security operations teams	hyponym	none
security	respondents security products	hyponym	none
security testing	vulnerabilities	hypernym	none
security capabilities	security and risk management	hyponym	none
security tools effectiveness	security tools	hypernym	none
security solutions	Security Group	hypernym	none
Security breaches	security skills	hypernym	none
operational security effectiveness	security operations	hypernym	none
operational security	network and security operations teams	hyponym	none
Security operations teams organizations	Security operations teams	hyponym	none
security	respondents security products	hyponym	none
security testing	vulnerabilities	hypernym	none
security capabilities	security and risk management	hyponym	none
security tools effectiveness	security tools	hypernym	none
security solutions	Security Group	hypernym	none
Security breaches	security skills	hypernym	none
security community	security automation	hyponym	none
security own infrastructure	security	hypernym	none
security issues	Critical Risks	hypernym	none
Critical Risks	Risks	hypernym	none
attacker	vulnerabilities	hyponym	none
OWASP	OWASP OWASP	hyponym	none
knowledge	expertise	hypernym	none
viruses	Internet	hypernym	none
Data	Internet	hyponym	none
Data	User Data	hyponym	none
personal data	Privacy Policy	hypernym	none
contact information	payment information	hypernym	none
privacy	password	hypernym	none
emails	password	hypernym	none
little information	contact information	hypernym	none
password	information	hypernym	none
